route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
RED,73_R,6576235_20081,"GLENMONT",0,,RRED_2,6576235,120
RED,73_R,6576247_20081,"GLENMONT",0,,RRED_2,6576247,121
RED,73_R,6576249_20081,"GLENMONT",0,,RRED_2,6576249,122
RED,73_R,6576229_20081,"GLENMONT",0,,RRED_2,6576229,123
RED,73_R,6576236_20081,"GLENMONT",0,,RRED_2,6576236,124
RED,73_R,6576224_20081,"GLENMONT",0,,RRED_2,6576224,125
RED,73_R,6576212_20081,"GLENMONT",0,,RRED_2,6576212,126
RED,73_R,6576243_20081,"GLENMONT",0,,RRED_2,6576243,127
RED,73_R,6576239_20081,"GLENMONT",0,,RRED_2,6576239,101
RED,73_R,6576222_20081,"GLENMONT",0,,RRED_2,6576222,102
RED,73_R,6576237_20081,"GLENMONT",0,,RRED_2,6576237,103
RED,73_R,6576223_20081,"GLENMONT",0,,RRED_2,6576223,104
RED,73_R,6576240_20081,"GLENMONT",0,,RRED_2,6576240,105
RED,73_R,6576214_20081,"GLENMONT",0,,RRED_2,6576214,106
RED,73_R,6576259_20081,"GLENMONT",0,,RRED_2,6576259,107
RED,73_R,6576257_20081,"GLENMONT",0,,RRED_2,6576257,108
RED,73_R,6576261_20081,"GLENMONT",0,,RRED_2,6576261,109
RED,73_R,6576266_20081,"GLENMONT",0,,RRED_2,6576266,110
RED,73_R,6576265_20081,"GLENMONT",0,,RRED_2,6576265,111
RED,73_R,6576252_20081,"GLENMONT",0,,RRED_2,6576252,113
RED,73_R,6576260_20081,"GLENMONT",0,,RRED_2,6576260,114
RED,73_R,6576268_20081,"GLENMONT",0,,RRED_2,6576268,115
RED,73_R,6576255_20081,"GLENMONT",0,,RRED_2,6576255,116
RED,73_R,6576271_20081,"GLENMONT",0,,RRED_2,6576271,117
RED,73_R,6576272_20081,"GLENMONT",0,,RRED_2,6576272,118
RED,73_R,6576269_20081,"GLENMONT",0,,RRED_2,6576269,119
RED,73_R,6576278_20081,"GLENMONT",0,,RRED_2,6576278,120
RED,73_R,6576297_20081,"GLENMONT",0,,RRED_2,6576297,121
RED,73_R,6576284_20081,"GLENMONT",0,,RRED_2,6576284,122
RED,73_R,6576293_20081,"GLENMONT",0,,RRED_2,6576293,123
RED,73_R,6576294_20081,"GLENMONT",0,,RRED_2,6576294,124
RED,73_R,6576276_20081,"GLENMONT",0,,RRED_2,6576276,125
RED,73_R,6576279_20081,"GLENMONT",0,,RRED_2,6576279,126
RED,73_R,6576288_20081,"GLENMONT",0,,RRED_2,6576288,127
RED,73_R,6576292_20081,"GLENMONT",0,,RRED_2,6576292,101
RED,73_R,6576285_20081,"GLENMONT",0,,RRED_2,6576285,102
RED,73_R,6576281_20081,"GLENMONT",0,,RRED_2,6576281,103
RED,73_R,6576298_20081,"GLENMONT",0,,RRED_2,6576298,104
RED,73_R,6576320_20081,"GLENMONT",0,,RRED_2,6576320,105
RED,73_R,6576326_20081,"GLENMONT",0,,RRED_2,6576326,106
RED,73_R,6576338_20081,"GLENMONT",0,,RRED_2,6576338,107
RED,73_R,6576339_20081,"GLENMONT",0,,RRED_2,6576339,108
RED,73_R,6576330_20081,"GLENMONT",0,,RRED_2,6576330,109
RED,73_R,6576319_20081,"GLENMONT",0,,RRED_2,6576319,110
RED,73_R,6576316_20081,"GLENMONT",0,,RRED_2,6576316,111
RED,73_R,6576301_20081,"GLENMONT",0,,RRED_2,6576301,113
RED,73_R,6576327_20081,"GLENMONT",0,,RRED_2,6576327,114
RED,73_R,6576335_20081,"GLENMONT",0,,RRED_2,6576335,115
RED,73_R,6576318_20081,"GLENMONT",0,,RRED_2,6576318,116
RED,73_R,6576309_20081,"GLENMONT",0,,RRED_2,6576309,117
RED,73_R,6576328_20081,"GLENMONT",0,,RRED_2,6576328,118
RED,73_R,6576312_20081,"GLENMONT",0,,RRED_2,6576312,119
RED,73_R,6576307_20081,"GLENMONT",0,,RRED_2,6576307,120
RED,73_R,6576315_20081,"GLENMONT",0,,RRED_2,6576315,121
RED,73_R,6576317_20081,"GLENMONT",0,,RRED_2,6576317,122
